"Optional field. It is automatically filled, using your store address. So do not change his default value unless it is strictly necessary","Campo opcional. É preenchido automaticamente usando o endereço da sua loja. Portanto, não altere seu valor padrão, a menos que seja estritamente necessário"
"Optional field","Campo opcional"
"Enable Log","Ativar Log"
"Sort order of this payment method in the checkout page (relative to others payments)","Ordem de classificação deste método de pagamento na página de pagamento (relativo aos outros meios pagamento habilitados)"
"Create log file?","Criar arquivo de log?"
"Log File Path","Caminho do Arquivo de Log"
"Return URL","URL de Retorno"
"Edited Return URL","URL de Retorno Editada"
"Edited value for return url, used to redirect end users in successful transactions.","Edited value for return url, used to redirect end users in successful transactions."
"Use default value (","Usar valor padrão ("
"Edit return url","Editar url de retorno"
"Notify URL","URL de Notificação"
"Edit notify url","Editar url de notificação"
"Edited Notify URL","URL de Notificação Editada"
"Edited value for notify url, used to notify the Virtual Store. This URL must bind ports 80 or 443.","Edited value for notify url, used to notify the Virtual Store. This URL must bind ports 80 or 443."
"Boa Compra updated order status to Boa Compra Pending","Boa Compra atualizou o status do pedido para Boa Compra Pendente"
"Boa Compra - Settings","Boa Compra - Configurações"
"Checkout Settings","Configurar Checkout"
"Boa Compra Cancelled","Boa Compra Cancelado"
"Boa Compra Complete","Boa Compra Completo"
"Boa Compra Chargeback","Boa Compra Chargeback"
"Boa Compra Expired","Boa Compra Expirado"
"Boa Compra Not Paid","Boa Compra Não Pago"
"Boa Compra Pending","Boa Compra Pendente"
"Boa Compra Refunded","Boa Compra Estornado"
"Boa Compra Under Review","Boa Compra Em Análise"
"Completing your checkout with Boa Compra","Finalizando seu pagamento com Boa Compra"
"You should be redirected to Boa Compra checkout page to finish the payment of your order","Você será redirecionado para o Boa Compra para concluir o pagamento do seu pedido"
"If you are not redirected, ","Se você não for redirecionado, "
"click here","clique aqui"
"Something went wrong","Algo deu errado"
"There was an error completing your order","Ocorreu um erro ao finalizar seu pedido"
"with Boa Compra.","com o Boa Compra."
"Please try again and if error persists contact us.","Tente novamente e, caso o erro persista, entre em contato conosco."
"Completed your checkout with Boa Compra","Finalizado pagamento com o Boa Compra"
"Click here to see more information of your order #","Clique aqui para ver os detalhes do seu pedido #"
"Check the the e-mail registered in the checkout to follow your order.","Verifique o e-mail cadastrado durante o pagamento para acompanhar seu pedido."
